"species"	"decimalLongitude"	"decimalLatitude"
"Hepatica nobilis"	10.664296	59.464625
"Hepatica nobilis"	10.696105	59.518287
"Hepatica nobilis"	9.674478	59.055185
"Hepatica nobilis"	10.513262	59.295272
"Hepatica nobilis"	9.652488	59.072276
"Hepatica nobilis"	9.983714	59.765396
"Hepatica nobilis"	9.97359	59.771226
"Hepatica nobilis"	9.896174	59.220956
"Hepatica nobilis"	9.05447	58.718425
"Hepatica nobilis"	10.698459	59.778502
"Hepatica nobilis"	10.430644	59.201087
"Hepatica nobilis"	10.761099	59.8651
"Hepatica nobilis"	10.726801	59.719501
"Hepatica nobilis"	10.660272	59.389764
"Hepatica nobilis"	9.965712	59.183351
"Hepatica nobilis"	9.965694	59.182633
"Hepatica nobilis"	10.645656	59.509501
"Hepatica nobilis"	10.592898	59.421599
"Hepatica nobilis"	9.94409	59.206413
"Hepatica nobilis"	10.652079	59.503488
"Hepatica nobilis"	9.663878	59.22519
"Hepatica nobilis"	11.043691	59.35485
"Hepatica nobilis"	11.043071	59.355161
"Hepatica nobilis"	11.038714	59.35479
"Hepatica nobilis"	10.448602	59.075143
"Hepatica nobilis"	8.980054	59.615063
"Hepatica nobilis"	10.904173	60.085302
"Hepatica nobilis"	9.667301	58.996595
"Hepatica nobilis"	11.043403	59.355211
"Hepatica nobilis"	10.947598	59.6662
"Hepatica nobilis"	10.178604	60.064239
"Hepatica nobilis"	9.996758	63.578395
"Hepatica nobilis"	8.876505	58.524058
"Hepatica nobilis"	10.758296	59.877901
"Hepatica nobilis"	8.143084	58.177303
"Hepatica nobilis"	10.698459	59.778502
"Hepatica nobilis"	11.043708	59.35496
"Hepatica nobilis"	11.043574	59.354831
"Hepatica nobilis"	11.043152	59.355262
"Hepatica nobilis"	11.04343	59.354799
"Hepatica nobilis"	9.095191	58.754332
"Hepatica nobilis"	10.350308	59.38975
"Hepatica nobilis"	10.348206	59.46724
"Hepatica nobilis"	10.029987	59.930641
"Hepatica nobilis"	10.047324	63.490997
"Hepatica nobilis"	9.669834	60.036824
"Hepatica nobilis"	10.657101	59.547502
"Hepatica nobilis"	10.592682	59.716113
"Hepatica nobilis"	9.665513	60.038022
"Hepatica nobilis"	10.769803	59.230461
"Hepatica nobilis"	10.287399	60.065495
"Hepatica nobilis"	10.412759	59.819777
"Hepatica nobilis"	11.043071	59.355161
"Hepatica nobilis"	10.470213	59.945277
"Hepatica nobilis"	10.349688	59.271476
"Hepatica nobilis"	10.285746	60.063598
"Hepatica nobilis"	10.285548	60.064231
"Hepatica nobilis"	11.137582	63.788805
"Hepatica nobilis"	7.980022	58.065716
"Hepatica nobilis"	10.592682	59.716113
"Hepatica nobilis"	8.874852	58.523523
"Hepatica nobilis"	11.043502	59.354868
"Hepatica nobilis"	11.043178	59.35485
"Hepatica nobilis"	11.043511	59.355239
"Hepatica nobilis"	10.268283	60.116482
"Hepatica nobilis"	10.1736	59.037775
"Hepatica nobilis"	10.656391	59.382362
"Hepatica nobilis"	10.518284	59.529532
"Hepatica nobilis"	10.617682	59.453162
"Hepatica nobilis"	9.614291	60.056667
"Hepatica nobilis"	10.832479	59.945689
"Hepatica nobilis"	10.433618	59.338833
"Hepatica nobilis"	11.043717	59.354749
"Hepatica nobilis"	10.091333	63.537966
"Hepatica nobilis"	10.430518	59.145727
"Hepatica nobilis"	11.043259	59.355262
"Hepatica nobilis"	10.319639	59.164989
"Hepatica nobilis"	10.617691	59.45313
"Hepatica nobilis"	9.153752	58.701335
"Hepatica nobilis"	11.043601	59.355221
"Hepatica nobilis"	10.698459	59.778502
"Hepatica nobilis"	10.707721	59.449423
"Hepatica nobilis"	10.617566	59.452628
"Hepatica nobilis"	11.043277	59.355202
"Hepatica nobilis"	10.903257	60.082466
"Hepatica nobilis"	11.043592	59.354978
"Hepatica nobilis"	11.043511	59.354758
"Hepatica nobilis"	10.769749	59.23048
"Hepatica nobilis"	10.624689	59.422636
"Hepatica nobilis"	11.043071	59.355092
"Hepatica nobilis"	10.618212	59.450578
"Hepatica nobilis"	11.043771	59.355079
"Hepatica nobilis"	10.592682	59.716113
"Hepatica nobilis"	10.880152	59.892387
"Hepatica nobilis"	10.906015	60.009032
"Hepatica nobilis"	9.896272	59.219926
"Hepatica nobilis"	11.043583	59.354941
"Hepatica nobilis"	11.043556	59.354859
"Hepatica nobilis"	11.043484	59.355202
"Hepatica nobilis"	8.873819	58.524602
